iter	Passed	Remaining
455	985	1175
456	987	1173
457	989	1170
458	990	1167
459	992	1164
460	993	1162
461	995	1159
462	997	1156
463	999	1154
464	1000	1151
465	1003	1149
466	1004	1146
467	1006	1143
468	1007	1140
469	1008	1137
470	1010	1134
471	1012	1132
472	1014	1130
473	1016	1127
474	1018	1126
475	1020	1123
476	1022	1120
477	1023	1117
478	1024	1114
479	1026	1112
480	1028	1110
481	1033	1110
482	1034	1107
483	1037	1105
484	1040	1104
485	1043	1103
486	1048	1104
487	1050	1101
488	1052	1099
489	1055	1098
490	1058	1097
491	1064	1099
492	1067	1097
493	1069	1095
494	1073	1095
495	1076	1093
496	1078	1091
497	1080	1089
498	1083	1087
499	1086	1086
500	1088	1084
501	1091	1083
502	1093	1080
503	1095	1078
504	1097	1076
505	1102	1076
506	1107	1076
507	1109	1074
508	1111	1072
509	1115	1071
510	1124	1075
511	1125	1073
512	1128	1071
513	1131	1070
514	1134	1068
515	1138	1068
516	1140	1065
517	1143	1064
518	1146	1062
519	1148	1060
520	1150	1057
521	1152	1055
522	1154	1053
523	1157	1051
524	1160	1050
525	1163	1048
526	1168	1048
527	1170	1045
528	1172	1043
529	1173	1040
530	1176	1038
531	1178	1036
532	1183	1036
533	1185	1034
534	1187	1031
535	1189	1029
536	1191	1027
537	1193	1024
538	1198	1024
539	1199	1022
540	1201	1019
541	1203	1016
542	1204	1014
543	1206	1011
544	1210	1010
545	1214	1009
546	1215	1006
547	1218	1004
548	1219	1002
549	1221	999
550	1223	996
551	1244	1009
552	1246	1007
553	1248	1005
554	1250	1002
555	1252	1000
556	1255	998
557	1259	997
558	1261	995
559	1263	992
560	1265	990
561	1267	987
562	1269	985
563	1271	983
564	1274	981
565	1276	978
566	1279	976
567	1281	974
568	1283	972
569	1289	972
570	1291	970
571	1294	968
572	1296	966
573	1298	963
574	1301	961
575	1305	960
576	1308	959
577	1311	957
578	1314	955
579	1316	953
580	1320	952
581	1323	950
582	1325	948
583	1336	952
584	1338	949
585	1340	947
586	1342	944
587	1344	942
588	1350	942
589	1354	941
590	1358	940
591	1360	937
592	1362	935
593	1366	934
594	1368	931
595	1370	929
596	1373	926
597	1374	924
598	1379	923
599	1382	921
600	1384	918
601	1386	916
602	1388	913
603	1390	911
604	1396	911
605	1398	909
606	1400	906
607	1402	904
608	1404	901
609	1410	901
610	1412	899
611	1414	896
612	1415	893
613	1418	891
614	1420	888
615	1423	887
616	1425	884
617	1429	883
618	1431	880
619	1433	878
620	1435	876
621	1437	873
622	1440	871
623	1442	868
624	1444	866
625	1446	864
626	1448	861
627	1450	858
628	1451	856
629	1456	855
630	1458	852
631	1460	850
632	1461	847
633	1463	845
634	1465	842
635	1469	841
636	1471	838
637	1473	836
638	1475	833
639	1476	830
640	1516	849
641	1518	846
642	1521	844
643	1523	842
644	1525	839
645	1527	837
646	1530	834
647	1532	832
648	1535	830
649	1537	827
650	1539	825
651	1541	823
652	1544	820
653	1566	828
654	1568	826
655	1570	823
656	1573	821
657	1575	818
658	1577	816
659	1580	814
660	1584	812
661	1588	811
662	1599	813
663	1602	810
664	1604	808
665	1628	816
666	1632	815
667	1634	812
668	1637	809
669	1639	807
670	1642	805
671	1645	802
672	1651	802
673	1658	801
674	1662	800
675	1665	798
676	1670	797
677	1672	794
678	1674	791
679	1676	788
680	1678	786
681	1679	783
682	1683	781
683	1686	779
684	1688	776
685	1689	773
686	1691	770
687	1693	767
688	1695	765
689	1699	763
690	1701	760
691	1703	758
692	1705	755
693	1707	752
694	1708	749
695	1710	746
696	1715	745
697	1717	743
698	1719	740
699	1721	737
700	1722	734
701	1724	732
702	1726	729
703	1730	727
704	1732	724
705	1733	722
706	1735	719
707	1737	716
708	1740	714
709	1743	712
710	1746	709
711	1750	707
712	1751	705
713	1753	702
714	1755	699
715	1760	698
716	1762	695
717	1763	692
718	1765	690
719	1767	687
720	1769	684
721	1770	681
722	1772	679
723	1774	676
724	1777	674
725	1779	671
726	1780	668
727	1783	666
728	1784	663
729	1788	661
730	1792	659
731	1796	657
732	1798	655
733	1801	652
734	1804	650
735	1806	647
736	1808	645
737	1809	642
738	1811	639
739	1813	637
740	1814	634
741	1816	631
742	1819	629
743	1821	626
744	1823	624
745	1824	621
746	1826	618
747	1828	615
748	1829	613
749	1833	611
750	1835	608
751	1837	605
752	1839	603
753	1840	600
754	1842	597
755	1844	595
756	1845	592
757	1850	590
758	1852	588
759	1854	585
760	1855	582
761	1857	580
762	1859	577
763	1860	574
764	1863	572
765	1864	569
766	1866	567
767	1868	564
768	1869	561
769	1871	558
770	1872	556
771	1874	553
772	1877	551
773	1879	548
774	1881	546
775	1883	543
776	1884	540
